Rating	ID	Title	Title Slug	Contest Slug	Problem Index
2307.0161713185	1655	Distribute Repeating Integers	distribute-repeating-integers	biweekly-contest-39	Q4
2306.8472649456	862	Shortest Subarray with Sum at Least K	shortest-subarray-with-sum-at-least-k	weekly-contest-91	Q4
2300.1557840589	1697	Checking Existence of Edge Length Limited Paths	checking-existence-of-edge-length-limited-paths	weekly-contest-220	Q4
2297.1053625160	1263	Minimum Moves to Move a Box to Their Target Location	minimum-moves-to-move-a-box-to-their-target-location	weekly-contest-163	Q4
2294.0981174197	932	Beautiful Array	beautiful-array	weekly-contest-108	Q4
2292.1434666805	761	Special Binary String	special-binary-string	weekly-contest-66	Q4
2290.9040038639	1591	Strange Printer II	strange-printer-ii	biweekly-contest-35	Q4
2288.2117442123	1569	Number of Ways to Reorder Array to Get Same BST	number-of-ways-to-reorder-array-to-get-same-bst	weekly-contest-204	Q4
2286.1378742318	1851	Minimum Interval to Include Each Query	minimum-interval-to-include-each-query	weekly-contest-239	Q4
2284.4463940346	1723	Find Minimum Time to Finish All Jobs	find-minimum-time-to-finish-all-jobs	weekly-contest-223	Q4
2277.3595662538	2029	Stone Game IX	stone-game-ix	weekly-contest-261	Q3
2277.0238076464	749	Contain Virus	contain-virus	weekly-contest-63	Q4
2276.4233585631	1498	Number of Subsequences That Satisfy the Given Sum Condition	number-of-subsequences-that-satisfy-the-given-sum-condition	weekly-contest-195	Q3
2275.7337818748	1606	Find Servers That Handled Most Number of Requests	find-servers-that-handled-most-number-of-requests	biweekly-contest-36	Q4
2273.7910625337	753	Cracking the Safe	cracking-the-safe	weekly-contest-64	Q4
2273.2215764545	1434	Number of Ways to Wear Different Hats to Each Other	number-of-ways-to-wear-different-hats-to-each-other	biweekly-contest-25	Q4
2272.4412003208	2179	Count Good Triplets in an Array	count-good-triplets-in-an-array	biweekly-contest-72	Q4
2272.1122260637	952	Largest Component Size by Common Factor	largest-component-size-by-common-factor	weekly-contest-113	Q4
2265.2118886972	2141	Maximum Running Time of N Computers	maximum-running-time-of-n-computers	weekly-contest-276	Q4
2260.2799775623	1997	First Day Where You Have Been in All the Rooms	first-day-where-you-have-been-in-all-the-rooms	weekly-contest-257	Q3
2259.6572191969	857	Minimum Cost to Hire K Workers	minimum-cost-to-hire-k-workers	weekly-contest-90	Q4
2258.6371797452	864	Shortest Path to Get All Keys	shortest-path-to-get-all-keys	weekly-contest-92	Q4
2250.9318291559	1125	Smallest Sufficient Team	smallest-sufficient-team	weekly-contest-145	Q4
2250.2578740769	1199	Minimum Time to Build Blocks	minimum-time-to-build-blocks	biweekly-contest-9	Q4
2250.0454791316	1307	Verbal Arithmetic Puzzle	verbal-arithmetic-puzzle	weekly-contest-169	Q4
2246.8671174565	960	Delete Columns to Make Sorted III	delete-columns-to-make-sorted-iii	weekly-contest-115	Q4
2246.0452639352	2183	Count Array Pairs Divisible by K	count-array-pairs-divisible-by-k	weekly-contest-281	Q4
2241.5199974312	1240	Tiling a Rectangle with the Fewest Squares	tiling-a-rectangle-with-the-fewest-squares	weekly-contest-160	Q4
2235.9672341699	850	Rectangle Area II	rectangle-area-ii	weekly-contest-88	Q4
2234.9191877602	1915	Number of Wonderful Substrings	number-of-wonderful-substrings	weekly-contest-247	Q3
2233.9639034080	1178	Number of Valid Words for Each Puzzle	number-of-valid-words-for-each-puzzle	weekly-contest-152	Q4
2231.8099102949	1766	Tree of Coprimes	tree-of-coprimes	biweekly-contest-46	Q4
2230.1673059455	1012	Numbers With Repeated Digits	numbers-with-repeated-digits	weekly-contest-128	Q4
2225.3877535768	2163	Minimum Difference in Sums After Removal of Elements	minimum-difference-in-sums-after-removal-of-elements	biweekly-contest-71	Q4
2221.7336557442	1542	Find Longest Awesome Substring	find-longest-awesome-substring	biweekly-contest-32	Q4
2221.3538766773	1627	Graph Connectivity With Threshold	graph-connectivity-with-threshold	weekly-contest-211	Q4
2220.0903365738	2223	Sum of Scores of Built Strings	sum-of-scores-of-built-strings	biweekly-contest-75	Q4
2219.3465296423	2167	Minimum Time to Remove All Cars Containing Illegal Goods	minimum-time-to-remove-all-cars-containing-illegal-goods	weekly-contest-279	Q4
2217.8090802563	2025	Maximum Number of Ways to Partition an Array	maximum-number-of-ways-to-partition-an-array	biweekly-contest-62	Q4
2214.4798747386	1889	Minimum Space Wasted From Packaging	minimum-space-wasted-from-packaging	weekly-contest-244	Q4
2210.3503183571	992	Subarrays with K Different Integers	subarrays-with-k-different-integers	weekly-contest-123	Q4
2209.8815936961	2081	Sum of k-Mirror Numbers	sum-of-k-mirror-numbers	weekly-contest-268	Q4
2208.5532172086	1568	Minimum Number of Days to Disconnect Island	minimum-number-of-days-to-disconnect-island	weekly-contest-204	Q3
2207.8565809952	1649	Create Sorted Array through Instructions	create-sorted-array-through-instructions	weekly-contest-214	Q4
2205.4304373587	1157	Online Majority Element In Subarray	online-majority-element-in-subarray	weekly-contest-149	Q4
2204.3524370174	879	Profitable Schemes	profitable-schemes	weekly-contest-95	Q4
2203.1738850937	1246	Palindrome Removal	palindrome-removal	biweekly-contest-12	Q4
2201.8209584221	1453	Maximum Number of Darts Inside of a Circular Dartboard	maximum-number-of-darts-inside-of-a-circular-dartboard	weekly-contest-189	Q4
2201.6219336792	2045	Second Minimum Time to Reach Destination	second-minimum-time-to-reach-destination	weekly-contest-263	Q4
2200.6623666057	847	Shortest Path Visiting All Nodes	shortest-path-visiting-all-nodes	weekly-contest-87	Q4
2198.4642973466	1739	Building Boxes	building-boxes	weekly-contest-225	Q4
2198.3290662783	1621	Number of Sets of K Non-Overlapping Line Segments	number-of-sets-of-k-non-overlapping-line-segments	biweekly-contest-37	Q3
2197.0951445919	834	Sum of Distances in Tree	sum-of-distances-in-tree	weekly-contest-84	Q4
2190.1757477854	1478	Allocate Mailboxes	allocate-mailboxes	biweekly-contest-28	Q4
2189.3802630548	1074	Number of Submatrices That Sum to Target	number-of-submatrices-that-sum-to-target	weekly-contest-139	Q4
2185.5444704515	943	Find the Shortest Superstring	find-the-shortest-superstring	weekly-contest-111	Q4
2184.5241011615	1081	Smallest Subsequence of Distinct Characters	smallest-subsequence-of-distinct-characters	weekly-contest-140	Q4
2182.6180030785	891	Sum of Subsequence Widths	sum-of-subsequence-widths	weekly-contest-98	Q4
2182.0544529810	1771	Maximize Palindrome Length From Subsequences	maximize-palindrome-length-from-subsequences	weekly-contest-229	Q4
2181.7821188042	1912	Design Movie Rental System	design-movie-rental-system	biweekly-contest-55	Q4
2178.4249114144	2065	Maximum Path Quality of a Graph	maximum-path-quality-of-a-graph	weekly-contest-266	Q4
2175.6850426027	1420	Build Array Where You Can Find The Maximum Exactly K Comparisons	build-array-where-you-can-find-the-maximum-exactly-k-comparisons	weekly-contest-185	Q4
2171.7160666640	1691	Maximum Height by Stacking Cuboids 	maximum-height-by-stacking-cuboids	weekly-contest-219	Q4
2170.1079846744	1862	Sum of Floored Pairs	sum-of-floored-pairs	biweekly-contest-52	Q4
